image,ground_truth,prediction,CER_score,,,,,,,,,,,,,,,,,,
test001_1.jpg,B9140BCD,B9140CD,0.125,,,,,,,,,,,,,,,,,,
test001_2.jpg,B2407UZO,UZO,0.625,,,,,,,,,,predictions that match the ground truth ,,,,,,total number of errors,,
test001_3.jpg,B2842PKM,RB20342,0.75,,,,,,,,,,5,,,,,,0.465622843,,
test002_1.jpg,BG1352AE,1352AE,0.25,,,,,,,,,,,,,,,,,,
test003_1.jpg,B2634UZF,R2634UF,0.25,,,,,,,,,,,,,,,,,,
test003_2.jpg,B1995JVK,RJK,0.75,,,,,,,,,,,,,,,,,,
test004_1.jpg,B9062VEH,819300256,1.25,,,,,,,,,,,,,,,,,,
test005_1.jpg,DD8798KM,RDDD,0.875,,,,,,,,,,,,,,,,,,
test006_1.jpg,T1329KC,17329KC,0.2857,,,,,,,,,,,,,,,,,,
test007_1.jpg,AD8865EE,RADA8865,0.5,,,,,,,,,,,,,,,,,,
test008_1.jpg,DK1157AAB,RDK11147,0.6667,,,,,,,,,,,,,,,,,,
test008_2.jpg,AA1997FE,A1990F,0.375,,,,,,,,,,,,,,,,,,
test009_1.jpg,H8518NA,H86516CA,0.4286,,,,,,,,,,,,,,,,,,
test009_2.jpg,K1649GB,KL1049,0.5714,,,,,,,,,,,,,,,,,,
test010_1.jpg,B9416PCN,B96410,0.625,,,,,,,,,,,,,,,,,,
test010_2.jpg,H1147UY,HW147VY,0.2857,,,,,,,,,,,,,,,,,,
test011_1.jpg,H1691IL,H1691IL,0,,,,,,,,,,,,,,,,,,
test011_2.jpg,B9374RI,R932RI,0.4286,,,,,,,,,,,,,,,,,,
test011_3.jpg,D1204AIG,RD1204AIA,0.25,,,,,,,,,,,,,,,,,,
test012_1.jpg,E1887BA,E1897BA,0.1429,,,,,,,,,,,,,,,,,,
test013_1.jpg,B1439UZP,R1436UZP,0.25,,,,,,,,,,,,,,,,,,
test013_2.jpg,B1128WOS,R1123,0.625,,,,,,,,,,,,,,,,,,
test014_1.jpg,B1388DFX,R1387,0.625,,,,,,,,,,,,,,,,,,
test015_1.jpg,AD1798BT,AD1798,0.25,,,,,,,,,,,,,,,,,,
test016_1.jpg,E1517DQ,1517,0.4286,,,,,,,,,,,,,,,,,,
test017_1.jpg,AD8982FS,AD8902,0.375,,,,,,,,,,,,,,,,,,
test018_1.jpg,L7603UA,76000312AJ,0.8571,,,,,,,,,,,,,,,,,,
test019_1.jpg,AD7HS,RAD,0.8,,,,,,,,,,,,,,,,,,
test019_2.jpg,B1959WYK,WYK1965,1.125,,,,,,,,,,,,,,,,,,
test020_1.jpg,AG8634EK,RAGC8602,0.75,,,,,,,,,,,,,,,,,,
test020_2.jpg,AD1329PY,RADAAD13288,0.875,,,,,,,,,,,,,,,,,,
test021_1.jpg,BA1709DW,BA1709,0.25,,,,,,,,,,,,,,,,,,
test021_2.jpg,W1236VZ,RW1234VZ,0.2857,,,,,,,,,,,,,,,,,,
test022_1.jpg,W1825OZ,W18256,0.2857,,,,,,,,,,,,,,,,,,
test022_2.jpg,L1202UE,L12020,0.2857,,,,,,,,,,,,,,,,,,
test022_3.jpg,L3823IB,L1382,0.5714,,,,,,,,,,,,,,,,,,
test023_1.jpg,B1730JLO,17304,0.5,,,,,,,,,,,,,,,,,,
test024_1.jpg,B2964TRU,R2967,0.625,,,,,,,,,,,,,,,,,,
test025_1.jpg,S5585LP,56079,0.8571,,,,,,,,,,,,,,,,,,
test025_2.jpg,L2858RR,L283509,0.5714,,,,,,,,,,,,,,,,,,
test025_3.jpg,W1185ZO,W176,0.7143,,,,,,,,,,,,,,,,,,
test025_4.jpg,9840VU,98400VU,0.1667,,,,,,,,,,,,,,,,,,
test026_1.jpg,N9652DF,9652DE,0.2857,,,,,,,,,,,,,,,,,,
test026_2.jpg,L3836ZX,383605,0.4286,,,,,,,,,,,,,,,,,,
test027_1.jpg,N1905IG,R19605,0.5714,,,,,,,,,,,,,,,,,,
test027_2.jpg,B1109CLR,R1104,0.625,,,,,,,,,,,,,,,,,,
test027_3.jpg,L1840AA,L1840,0.2857,,,,,,,,,,,,,,,,,,
test028_1.jpg,L1438EO,1438,0.4286,,,,,,,,,,,,,,,,,,
test028_2.jpg,L1436AAA,RL14386AAA,0.25,,,,,,,,,,,,,,,,,,
test029_1.jpg,W1518WF,NW1516,0.5714,,,,,,,,,,,,,,,,,,
test029_2.jpg,G1986N,G1960,0.3333,,,,,,,,,,,,,,,,,,
test029_3.jpg,L1588OO,1580,0.5714,,,,,,,,,,,,,,,,,,
test029_4.jpg,L1436AAA,1436AAA,0.125,,,,,,,,,,,,,,,,,,
test030_1.jpg,S8062NF,800622,0.5714,,,,,,,,,,,,,,,,,,
test030_2.jpg,G1894TE,R1894,0.4286,,,,,,,,,,,,,,,,,,
test031_1.jpg,L1560JQ,R15600,0.4286,,,,,,,,,,,,,,,,,,
test031_2.jpg,L1568QO,16806,0.5714,,,,,,,,,,,,,,,,,,
test031_3.jpg,L1932AAZ,L1932AAA,0.125,,,,,,,,,,,,,,,,,,
test032_1.jpg,B2754SKY,RB2165SKY,0.5,,,,,,,,,,,,,,,,,,
test032_2.jpg,W1192K,W1102,0.3333,,,,,,,,,,,,,,,,,,
test033_1.jpg,L4561VK,4501,0.5714,,,,,,,,,,,,,,,,,,
test033_2.jpg,L2693GA,R,1,,,,,,,,,,,,,,,,,,
test033_3.jpg,W9847G,R8746,0.8333,,,,,,,,,,,,,,,,,,
test033_4.jpg,L1762ABJ,R7621AAB,0.625,,,,,,,,,,,,,,,,,,
test034_1.jpg,L1811SU,L1811S,0.1429,,,,,,,,,,,,,,,,,,
test034_2.jpg,W1167VO,W176V,0.4286,,,,,,,,,,,,,,,,,,
test034_3.jpg,S6131OCF,S6151ACE,0.375,,,,,,,,,,,,,,,,,,
test034_4.jpg,L2570AAD,L2570AD,0.125,,,,,,,,,,,,,,,,,,
test035_1.jpg,L9643NN,90623,0.7143,,,,,,,,,,,,,,,,,,
test035_2.jpg,L5247GI,527,0.5714,,,,,,,,,,,,,,,,,,
test035_3.jpg,L2498AAM,L2739AM,0.5,,,,,,,,,,,,,,,,,,
